<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20210104,00:00,436.0000000
ROSN,D,20210105,00:00,449.3500000
ROSN,D,20210106,00:00,453.7000000
ROSN,D,20210108,00:00,478.2000000
ROSN,D,20210111,00:00,473.2500000
ROSN,D,20210112,00:00,474.4000000
ROSN,D,20210113,00:00,485.9500000
ROSN,D,20210114,00:00,505.0000000
ROSN,D,20210115,00:00,512.2000000
ROSN,D,20210118,00:00,516.5000000
ROSN,D,20210119,00:00,510.7000000
ROSN,D,20210120,00:00,510.6500000
ROSN,D,20210121,00:00,498.0000000
ROSN,D,20210122,00:00,494.2500000
ROSN,D,20210125,00:00,495.6000000
ROSN,D,20210126,00:00,493.9500000
ROSN,D,20210127,00:00,481.2500000
ROSN,D,20210128,00:00,483.4000000
ROSN,D,20210129,00:00,473.0000000
ROSN,D,20210201,00:00,478.3500000
ROSN,D,20210202,00:00,482.0000000
ROSN,D,20210203,00:00,489.9500000
ROSN,D,20210204,00:00,489.2000000
ROSN,D,20210205,00:00,493.9500000
ROSN,D,20210208,00:00,501.7500000
ROSN,D,20210209,00:00,494.8000000
ROSN,D,20210210,00:00,491.4500000
ROSN,D,20210211,00:00,496.8000000
ROSN,D,20210212,00:00,509.3500000
ROSN,D,20210215,00:00,521.4500000
ROSN,D,20210216,00:00,525.6000000
ROSN,D,20210217,00:00,515.1500000
ROSN,D,20210218,00:00,506.8500000
ROSN,D,20210219,00:00,512.7500000
ROSN,D,20210220,00:00,513.1500000
ROSN,D,20210222,00:00,516.0000000
ROSN,D,20210224,00:00,518.2500000
ROSN,D,20210225,00:00,529.3500000
ROSN,D,20210226,00:00,523.3500000
ROSN,D,20210301,00:00,524.1000000
ROSN,D,20210302,00:00,526.0000000
ROSN,D,20210303,00:00,533.8000000
ROSN,D,20210304,00:00,540.1000000
ROSN,D,20210305,00:00,561.0000000
ROSN,D,20210309,00:00,570.6000000
ROSN,D,20210310,00:00,561.1500000
ROSN,D,20210311,00:00,572.0000000
ROSN,D,20210312,00:00,572.2500000
ROSN,D,20210315,00:00,576.4000000
ROSN,D,20210316,00:00,571.2000000
ROSN,D,20210317,00:00,555.8500000
ROSN,D,20210318,00:00,544.0500000
ROSN,D,20210319,00:00,560.3000000
ROSN,D,20210322,00:00,562.6500000
ROSN,D,20210323,00:00,565.1000000
ROSN,D,20210324,00:00,568.0500000
ROSN,D,20210325,00:00,574.6500000
ROSN,D,20210326,00:00,582.2000000
ROSN,D,20210329,00:00,575.3000000
ROSN,D,20210330,00:00,570.2500000
ROSN,D,20210331,00:00,572.6000000
ROSN,D,20210401,00:00,568.9000000
ROSN,D,20210402,00:00,566.6500000
ROSN,D,20210405,00:00,560.1500000
ROSN,D,20210406,00:00,547.5500000
ROSN,D,20210407,00:00,551.5000000
ROSN,D,20210408,00:00,549.3000000
ROSN,D,20210409,00:00,538.0000000
ROSN,D,20210412,00:00,540.1500000
ROSN,D,20210413,00:00,551.9500000
ROSN,D,20210414,00:00,552.1000000
ROSN,D,20210415,00:00,556.5000000
ROSN,D,20210416,00:00,555.0500000
ROSN,D,20210419,00:00,548.0500000
ROSN,D,20210420,00:00,541.0500000
ROSN,D,20210421,00:00,545.7000000
ROSN,D,20210422,00:00,541.6000000
ROSN,D,20210423,00:00,538.5000000
ROSN,D,20210426,00:00,530.6000000
ROSN,D,20210427,00:00,528.0000000
ROSN,D,20210428,00:00,527.9500000
ROSN,D,20210429,00:00,528.7500000
ROSN,D,20210430,00:00,525.2000000
ROSN,D,20210504,00:00,537.1500000
ROSN,D,20210505,00:00,538.6500000
ROSN,D,20210506,00:00,538.5500000
ROSN,D,20210507,00:00,536.2000000
ROSN,D,20210510,00:00,541.9500000
ROSN,D,20210511,00:00,532.0000000
ROSN,D,20210512,00:00,542.2000000
ROSN,D,20210513,00:00,550.0000000
ROSN,D,20210514,00:00,545.6500000
ROSN,D,20210517,00:00,545.5500000
ROSN,D,20210518,00:00,540.4500000
ROSN,D,20210519,00:00,529.5000000
ROSN,D,20210520,00:00,517.3500000
ROSN,D,20210521,00:00,525.5500000
ROSN,D,20210524,00:00,523.9500000
ROSN,D,20210525,00:00,524.3500000
ROSN,D,20210526,00:00,525.8500000
ROSN,D,20210527,00:00,525.2000000
ROSN,D,20210528,00:00,523.3500000
ROSN,D,20210531,00:00,531.4000000
ROSN,D,20210601,00:00,544.0000000
ROSN,D,20210602,00:00,552.0000000
ROSN,D,20210603,00:00,559.4500000
ROSN,D,20210604,00:00,556.4500000
ROSN,D,20210607,00:00,551.5500000
ROSN,D,20210608,00:00,550.2500000
ROSN,D,20210609,00:00,548.2500000
ROSN,D,20210610,00:00,539.6000000
ROSN,D,20210611,00:00,535.4500000
ROSN,D,20210614,00:00,537.6000000
ROSN,D,20210615,00:00,536.0500000
ROSN,D,20210616,00:00,541.2500000
ROSN,D,20210617,00:00,537.0000000
ROSN,D,20210618,00:00,541.0000000
ROSN,D,20210621,00:00,541.2000000
ROSN,D,20210622,00:00,551.8500000
ROSN,D,20210623,00:00,570.4500000
ROSN,D,20210624,00:00,565.9500000
ROSN,D,20210625,00:00,564.7000000
ROSN,D,20210628,00:00,555.0000000
ROSN,D,20210629,00:00,553.0500000
ROSN,D,20210630,00:00,571.2000000
ROSN,D,20210701,00:00,581.4500000
ROSN,D,20210702,00:00,567.0000000
ROSN,D,20210705,00:00,567.5000000
ROSN,D,20210706,00:00,571.0000000
ROSN,D,20210707,00:00,580.2500000
ROSN,D,20210708,00:00,581.1000000
ROSN,D,20210709,00:00,577.8500000
ROSN,D,20210712,00:00,579.0000000
ROSN,D,20210713,00:00,576.0000000
ROSN,D,20210714,00:00,569.0000000
ROSN,D,20210715,00:00,562.5000000
ROSN,D,20210716,00:00,563.4500000
ROSN,D,20210719,00:00,543.9000000
ROSN,D,20210720,00:00,547.5000000
ROSN,D,20210721,00:00,551.9000000
ROSN,D,20210722,00:00,553.6500000
ROSN,D,20210723,00:00,548.8500000
ROSN,D,20210726,00:00,552.7000000
ROSN,D,20210727,00:00,551.2000000
ROSN,D,20210728,00:00,554.2500000
ROSN,D,20210729,00:00,554.0000000
ROSN,D,20210730,00:00,544.5000000
ROSN,D,20210802,00:00,548.8500000
ROSN,D,20210803,00:00,551.0000000
ROSN,D,20210804,00:00,543.5000000
ROSN,D,20210805,00:00,548.0000000
ROSN,D,20210806,00:00,544.9000000
ROSN,D,20210809,00:00,545.0000000
ROSN,D,20210810,00:00,562.5500000
ROSN,D,20210811,00:00,561.8000000
ROSN,D,20210812,00:00,565.9000000
ROSN,D,20210813,00:00,558.5500000
ROSN,D,20210816,00:00,564.4000000
ROSN,D,20210817,00:00,555.0000000
ROSN,D,20210818,00:00,546.9500000
ROSN,D,20210819,00:00,537.8000000
ROSN,D,20210820,00:00,534.0000000
ROSN,D,20210823,00:00,544.8500000
ROSN,D,20210824,00:00,545.0000000
ROSN,D,20210825,00:00,538.5000000
ROSN,D,20210826,00:00,531.7000000
ROSN,D,20210827,00:00,537.8000000
ROSN,D,20210830,00:00,539.3000000
ROSN,D,20210831,00:00,533.6000000
ROSN,D,20210901,00:00,541.5500000
ROSN,D,20210902,00:00,550.7000000
ROSN,D,20210903,00:00,555.4000000
ROSN,D,20210906,00:00,550.7000000
ROSN,D,20210907,00:00,547.3000000
ROSN,D,20210908,00:00,555.9000000
ROSN,D,20210909,00:00,541.9000000
ROSN,D,20210910,00:00,543.3000000
ROSN,D,20210913,00:00,559.4000000
ROSN,D,20210914,00:00,557.2500000
ROSN,D,20210915,00:00,568.1000000
ROSN,D,20210916,00:00,576.4500000
ROSN,D,20210917,00:00,567.1000000
ROSN,D,20210920,00:00,552.5000000
ROSN,D,20210921,00:00,564.5000000
ROSN,D,20210922,00:00,586.0000000
ROSN,D,20210923,00:00,598.2500000
ROSN,D,20210924,00:00,614.0000000
ROSN,D,20210927,00:00,627.8500000
ROSN,D,20210928,00:00,617.8500000
ROSN,D,20210929,00:00,618.9000000
ROSN,D,20210930,00:00,614.3500000
ROSN,D,20211001,00:00,618.4500000
ROSN,D,20211004,00:00,631.7000000
ROSN,D,20211005,00:00,655.2500000
ROSN,D,20211006,00:00,646.0000000
ROSN,D,20211007,00:00,647.9500000
ROSN,D,20211008,00:00,631.0000000
ROSN,D,20211011,00:00,641.5500000
ROSN,D,20211012,00:00,638.6500000
ROSN,D,20211013,00:00,632.8500000
ROSN,D,20211014,00:00,640.4500000
ROSN,D,20211015,00:00,645.4500000
ROSN,D,20211018,00:00,639.2500000
ROSN,D,20211019,00:00,643.0000000
ROSN,D,20211020,00:00,643.7000000
ROSN,D,20211021,00:00,633.3000000
ROSN,D,20211022,00:00,634.5000000
ROSN,D,20211025,00:00,655.0500000
ROSN,D,20211026,00:00,650.8000000
ROSN,D,20211027,00:00,638.4000000
ROSN,D,20211028,00:00,641.2500000
ROSN,D,20211029,00:00,636.1000000
ROSN,D,20211101,00:00,641.9000000
ROSN,D,20211102,00:00,630.2000000
ROSN,D,20211103,00:00,619.7500000
ROSN,D,20211105,00:00,626.2500000
ROSN,D,20211108,00:00,631.7000000
ROSN,D,20211109,00:00,636.4000000
ROSN,D,20211110,00:00,629.8000000
ROSN,D,20211111,00:00,634.5000000
ROSN,D,20211112,00:00,619.2000000
ROSN,D,20211115,00:00,621.5500000
ROSN,D,20211116,00:00,621.3500000
ROSN,D,20211117,00:00,619.5000000
ROSN,D,20211118,00:00,614.1000000
ROSN,D,20211119,00:00,590.5000000
ROSN,D,20211122,00:00,581.0000000
ROSN,D,20211123,00:00,601.9500000
ROSN,D,20211124,00:00,597.3000000
ROSN,D,20211125,00:00,590.9000000
ROSN,D,20211126,00:00,555.1500000
ROSN,D,20211129,00:00,573.2500000
ROSN,D,20211130,00:00,566.1000000
ROSN,D,20211201,00:00,569.9500000
ROSN,D,20211202,00:00,582.0000000
ROSN,D,20211203,00:00,576.5500000
ROSN,D,20211206,00:00,575.5500000
ROSN,D,20211207,00:00,589.5500000
ROSN,D,20211208,00:00,574.9500000
ROSN,D,20211209,00:00,578.3500000
ROSN,D,20211210,00:00,572.1000000
ROSN,D,20211213,00:00,539.1500000
ROSN,D,20211214,00:00,550.8500000
ROSN,D,20211215,00:00,561.1000000
ROSN,D,20211216,00:00,573.0000000
ROSN,D,20211217,00:00,573.2000000
ROSN,D,20211220,00:00,567.5500000
ROSN,D,20211221,00:00,575.0000000
ROSN,D,20211222,00:00,579.7000000
ROSN,D,20211223,00:00,579.1000000
ROSN,D,20211224,00:00,572.0500000
ROSN,D,20211227,00:00,582.0000000
ROSN,D,20211228,00:00,596.2000000
ROSN,D,20211229,00:00,592.0000000
ROSN,D,20211230,00:00,599.0000000
ROSN,D,20220103,00:00,610.9500000
ROSN,D,20220104,00:00,613.5000000
ROSN,D,20220105,00:00,590.3000000
ROSN,D,20220106,00:00,601.6000000
ROSN,D,20220110,00:00,602.0000000
ROSN,D,20220111,00:00,613.6000000
ROSN,D,20220112,00:00,627.7000000
ROSN,D,20220113,00:00,603.3000000
ROSN,D,20220114,00:00,605.5000000
ROSN,D,20220117,00:00,592.5500000
ROSN,D,20220118,00:00,544.8000000
ROSN,D,20220119,00:00,566.9000000
ROSN,D,20220120,00:00,561.7000000
ROSN,D,20220121,00:00,564.8000000
ROSN,D,20220124,00:00,546.9000000
ROSN,D,20220125,00:00,548.4000000
ROSN,D,20220126,00:00,532.7500000
ROSN,D,20220127,00:00,563.2000000
ROSN,D,20220128,00:00,566.5000000
ROSN,D,20220131,00:00,576.9500000
ROSN,D,20220201,00:00,574.1500000
ROSN,D,20220202,00:00,575.7000000
ROSN,D,20220203,00:00,569.0000000
ROSN,D,20220204,00:00,572.0000000
ROSN,D,20220207,00:00,569.8000000
ROSN,D,20220208,00:00,570.0500000
ROSN,D,20220209,00:00,579.0000000
ROSN,D,20220210,00:00,569.4000000
ROSN,D,20220211,00:00,547.4000000
ROSN,D,20220214,00:00,556.0000000
ROSN,D,20220215,00:00,565.9500000
ROSN,D,20220216,00:00,571.5500000
ROSN,D,20220217,00:00,549.5000000
ROSN,D,20220218,00:00,519.5000000
ROSN,D,20220221,00:00,438.7000000
ROSN,D,20220222,00:00,431.3000000
ROSN,D,20220224,00:00,274.7000000
ROSN,D,20220225,00:00,307.9500000
ROSN,D,20220324,00:00,360.2000000
ROSN,D,20220325,00:00,365.1000000
ROSN,D,20220328,00:00,357.9500000
ROSN,D,20220329,00:00,370.0000000
ROSN,D,20220330,00:00,387.0000000
ROSN,D,20220331,00:00,437.5000000
ROSN,D,20220401,00:00,450.0000000
ROSN,D,20220404,00:00,443.9000000
ROSN,D,20220405,00:00,419.0000000
ROSN,D,20220406,00:00,405.0000000
ROSN,D,20220407,00:00,408.5000000
ROSN,D,20220408,00:00,403.0500000
ROSN,D,20220411,00:00,414.0000000
ROSN,D,20220412,00:00,412.1000000
ROSN,D,20220413,00:00,406.0500000
ROSN,D,20220414,00:00,391.0000000
ROSN,D,20220415,00:00,390.5000000
ROSN,D,20220418,00:00,384.8500000
ROSN,D,20220419,00:00,385.0000000
ROSN,D,20220420,00:00,391.0000000
ROSN,D,20220421,00:00,388.0000000
ROSN,D,20220422,00:00,397.3500000
ROSN,D,20220425,00:00,388.5000000
ROSN,D,20220426,00:00,391.0000000
ROSN,D,20220427,00:00,397.9500000
ROSN,D,20220428,00:00,400.0000000
ROSN,D,20220429,00:00,409.0000000
ROSN,D,20220504,00:00,396.2000000
ROSN,D,20220505,00:00,397.0000000
ROSN,D,20220506,00:00,392.3000000
ROSN,D,20220511,00:00,391.5500000
ROSN,D,20220512,00:00,375.0000000
ROSN,D,20220513,00:00,374.9500000
ROSN,D,20220516,00:00,378.8000000
ROSN,D,20220517,00:00,394.7000000
ROSN,D,20220518,00:00,404.0000000
ROSN,D,20220519,00:00,399.6000000
ROSN,D,20220520,00:00,384.2500000
ROSN,D,20220523,00:00,367.0500000
ROSN,D,20220524,00:00,359.2000000
ROSN,D,20220525,00:00,378.0000000
ROSN,D,20220526,00:00,391.7000000
ROSN,D,20220527,00:00,401.5000000
ROSN,D,20220530,00:00,385.1000000
ROSN,D,20220531,00:00,377.0000000
ROSN,D,20220601,00:00,375.9500000
ROSN,D,20220602,00:00,368.7500000
ROSN,D,20220603,00:00,365.4500000
ROSN,D,20220606,00:00,368.8000000
ROSN,D,20220607,00:00,366.5500000
ROSN,D,20220608,00:00,372.8500000
ROSN,D,20220609,00:00,373.2500000
ROSN,D,20220610,00:00,369.5000000
ROSN,D,20220614,00:00,371.6000000
ROSN,D,20220615,00:00,375.6500000
ROSN,D,20220616,00:00,383.0000000
ROSN,D,20220617,00:00,384.4500000
ROSN,D,20220620,00:00,389.8000000
ROSN,D,20220621,00:00,381.3000000
ROSN,D,20220622,00:00,377.6000000
ROSN,D,20220623,00:00,378.4000000
ROSN,D,20220624,00:00,377.0000000
ROSN,D,20220627,00:00,376.6500000
ROSN,D,20220628,00:00,381.8500000
ROSN,D,20220629,00:00,384.2000000
ROSN,D,20220630,00:00,362.2500000
ROSN,D,20220701,00:00,375.1500000
ROSN,D,20220704,00:00,371.6000000
ROSN,D,20220705,00:00,371.5000000
ROSN,D,20220706,00:00,369.6500000
ROSN,D,20220707,00:00,364.9500000
ROSN,D,20220708,00:00,351.2000000
ROSN,D,20220711,00:00,343.8000000
ROSN,D,20220712,00:00,333.5000000
ROSN,D,20220713,00:00,321.0000000
ROSN,D,20220714,00:00,315.4500000
ROSN,D,20220715,00:00,330.5000000
ROSN,D,20220718,00:00,326.0000000
ROSN,D,20220719,00:00,320.7500000
ROSN,D,20220720,00:00,330.0000000
ROSN,D,20220721,00:00,328.2000000
ROSN,D,20220722,00:00,340.0000000
ROSN,D,20220725,00:00,336.6000000
ROSN,D,20220726,00:00,347.0000000
ROSN,D,20220727,00:00,348.7000000
ROSN,D,20220728,00:00,344.3000000
ROSN,D,20220729,00:00,353.0000000
ROSN,D,20220801,00:00,348.0000000
ROSN,D,20220802,00:00,335.8000000
ROSN,D,20220803,00:00,330.2500000
ROSN,D,20220804,00:00,324.6000000
ROSN,D,20220805,00:00,322.7000000
ROSN,D,20220808,00:00,327.3500000
ROSN,D,20220809,00:00,339.6500000
ROSN,D,20220810,00:00,339.5000000
ROSN,D,20220811,00:00,333.0000000
ROSN,D,20220812,00:00,336.2000000
ROSN,D,20220815,00:00,335.9000000
ROSN,D,20220816,00:00,348.0000000
ROSN,D,20220817,00:00,344.1000000
ROSN,D,20220818,00:00,346.4000000
ROSN,D,20220819,00:00,344.8000000
ROSN,D,20220822,00:00,349.6000000
ROSN,D,20220823,00:00,356.0000000
ROSN,D,20220824,00:00,358.2000000
ROSN,D,20220825,00:00,355.6000000
ROSN,D,20220826,00:00,361.5000000
ROSN,D,20220829,00:00,367.3000000
ROSN,D,20220830,00:00,361.3000000
ROSN,D,20220831,00:00,368.0000000
ROSN,D,20220901,00:00,373.5000000
ROSN,D,20220902,00:00,385.1000000
ROSN,D,20220905,00:00,385.1000000
ROSN,D,20220906,00:00,375.7000000
ROSN,D,20220907,00:00,375.9500000
ROSN,D,20220908,00:00,374.4000000
ROSN,D,20220909,00:00,378.0000000
ROSN,D,20220912,00:00,379.4000000
ROSN,D,20220913,00:00,373.4000000
ROSN,D,20220914,00:00,375.7500000
ROSN,D,20220915,00:00,367.3000000
ROSN,D,20220916,00:00,359.0500000
ROSN,D,20220919,00:00,358.2500000
ROSN,D,20220920,00:00,330.9000000
ROSN,D,20220921,00:00,312.5500000
ROSN,D,20220922,00:00,315.5000000
ROSN,D,20220923,00:00,296.7000000
ROSN,D,20220926,00:00,257.9000000
ROSN,D,20220927,00:00,266.9500000
ROSN,D,20220928,00:00,263.0000000
ROSN,D,20220929,00:00,256.0500000
ROSN,D,20220930,00:00,264.0500000
ROSN,D,20221003,00:00,287.9000000
ROSN,D,20221004,00:00,283.7500000
ROSN,D,20221005,00:00,283.0000000
ROSN,D,20221006,00:00,286.8000000
ROSN,D,20221007,00:00,269.0000000
ROSN,D,20221010,00:00,277.8500000
ROSN,D,20221011,00:00,287.3000000
ROSN,D,20221012,00:00,292.0000000
ROSN,D,20221013,00:00,298.8000000
ROSN,D,20221014,00:00,299.5500000
ROSN,D,20221017,00:00,313.4500000
ROSN,D,20221018,00:00,305.4500000
ROSN,D,20221019,00:00,307.9500000
ROSN,D,20221020,00:00,310.8500000
ROSN,D,20221021,00:00,311.3000000
ROSN,D,20221024,00:00,313.6000000
ROSN,D,20221025,00:00,332.4000000
ROSN,D,20221026,00:00,340.6500000
ROSN,D,20221027,00:00,343.8500000
ROSN,D,20221028,00:00,341.8000000
ROSN,D,20221031,00:00,333.9000000
ROSN,D,20221101,00:00,332.3500000
ROSN,D,20221102,00:00,333.7000000
ROSN,D,20221103,00:00,335.0000000
ROSN,D,20221107,00:00,356.7000000
ROSN,D,20221108,00:00,351.9500000
ROSN,D,20221109,00:00,348.6000000
ROSN,D,20221110,00:00,358.2500000
ROSN,D,20221111,00:00,356.9500000
ROSN,D,20221114,00:00,350.8500000
ROSN,D,20221115,00:00,338.4000000
ROSN,D,20221116,00:00,342.5000000
ROSN,D,20221117,00:00,336.9500000
ROSN,D,20221118,00:00,336.9000000
ROSN,D,20221121,00:00,331.8500000
ROSN,D,20221122,00:00,334.9500000
ROSN,D,20221123,00:00,337.9500000
ROSN,D,20221124,00:00,334.7500000
ROSN,D,20221125,00:00,335.9000000
ROSN,D,20221128,00:00,333.2000000
ROSN,D,20221129,00:00,335.9000000
ROSN,D,20221130,00:00,336.2500000
ROSN,D,20221201,00:00,335.9000000
ROSN,D,20221202,00:00,335.0000000
ROSN,D,20221205,00:00,340.4500000
ROSN,D,20221206,00:00,336.0000000
ROSN,D,20221207,00:00,335.1000000
ROSN,D,20221208,00:00,333.7000000
ROSN,D,20221209,00:00,336.1500000
ROSN,D,20221212,00:00,335.2000000
ROSN,D,20221213,00:00,337.4000000
ROSN,D,20221214,00:00,334.5000000
